"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 02:33:50 GMT 2024","Tue Jul 02 02:33:50 GMT 2024","6","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test2","test2",""
"passed","Tue Jul 02 02:33:50 GMT 2024","Tue Jul 02 02:33:50 GMT 2024","5","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test1","test1",""
"passed","Tue Jul 02 02:33:50 GMT 2024","Tue Jul 02 02:33:50 GMT 2024","6","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test4","test4",""
"passed","Tue Jul 02 02:33:50 GMT 2024","Tue Jul 02 02:33:50 GMT 2024","3","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test5","test5",""
"passed","Tue Jul 02 02:33:50 GMT 2024","Tue Jul 02 02:33:50 GMT 2024","5","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test3","test3",""
