"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 02:34:06 GMT 2024","Wed Jun 12 02:34:06 GMT 2024","5","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test2","test2",""
"passed","Wed Jun 12 02:34:06 GMT 2024","Wed Jun 12 02:34:06 GMT 2024","3","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test1","test1",""
"passed","Wed Jun 12 02:34:06 GMT 2024","Wed Jun 12 02:34:06 GMT 2024","8","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test5","test5",""
"passed","Wed Jun 12 02:34:06 GMT 2024","Wed Jun 12 02:34:06 GMT 2024","6","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test3","test3",""
"passed","Wed Jun 12 02:34:06 GMT 2024","Wed Jun 12 02:34:06 GMT 2024","4","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test4","test4",""
