"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 02:32:48 GMT 2024","Wed Jun 05 02:32:48 GMT 2024","12","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test2","test2",""
"passed","Wed Jun 05 02:32:48 GMT 2024","Wed Jun 05 02:32:48 GMT 2024","11","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test5","test5",""
"passed","Wed Jun 05 02:32:48 GMT 2024","Wed Jun 05 02:32:48 GMT 2024","12","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test1","test1",""
"passed","Wed Jun 05 02:32:48 GMT 2024","Wed Jun 05 02:32:48 GMT 2024","7","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test4","test4",""
"passed","Wed Jun 05 02:32:48 GMT 2024","Wed Jun 05 02:32:48 GMT 2024","25","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test3","test3",""
