"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 02:34:04 GMT 2024","Wed Jun 19 02:34:04 GMT 2024","1","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test2","test2",""
"passed","Wed Jun 19 02:34:04 GMT 2024","Wed Jun 19 02:34:04 GMT 2024","5","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test4","test4",""
"passed","Wed Jun 19 02:34:04 GMT 2024","Wed Jun 19 02:34:04 GMT 2024","5","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test5","test5",""
"passed","Wed Jun 19 02:34:04 GMT 2024","Wed Jun 19 02:34:04 GMT 2024","2","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test3","test3",""
"passed","Wed Jun 19 02:34:04 GMT 2024","Wed Jun 19 02:34:04 GMT 2024","3","Parallel suite","ParallelTestSuite","test.ParallelTest","test.ParallelTest","test1","test1",""
